candidate_name,year,votes,percent_vote,inducted
Carlos Beltrán,2026,358,84.2,Y
Andruw Jones,2026,333,78.4,Y
Chase Utley,2026,251,59.1,N
Andy Pettitte,2026,206,48.5,N
Félix Hernández,2026,196,46.1,N
Alex Rodriguez,2026,170,40,N
Manny Ramirez,2026,165,38.8,N
Bobby Abreu,2026,131,30.8,N
Jimmy Rollins,2026,108,25.4,N
Cole Hamels,2026,101,23.8,N
Dustin Pedroia,2026,88,20.7,N
Mark Buehrle,2026,85,20,N
Omar Vizquel,2026,78,18.4,N
David Wright,2026,63,14.8,N
Francisco Rodríguez,2026,50,11.8,N
Torii Hunter,2026,37,8.7,N
Ryan Braun,2026,15,3.5,N
Edwin Encarnación,2026,6,1.4,N
Shin-Soo Choo,2026,3,0.7,N
Hunter Pence,2026,2,0.5,N
Matt Kemp,2026,2,0.5,N
Rick Porcello,2026,2,0.5,N
Nick Markakis,2026,1,0.2,N
Alex Gordon,2026,1,0.2,N
Daniel Murphy,2026,0,0,N
Howie Kendrick,2026,0,0,N
Gio Gonzalez,2026,0,0,N
